GTO,Random,LLM
0,0,1
0,0,2
0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,2,7
0,3,7
0,4,7
0,5,7
1,5,7
1,5,8
2,5,8
2,5,9
2,5,10
2,5,11
2,6,11
2,6,12
2,6,13
2,6,14
2,7,14
2,7,15
2,8,15
2,8,16
2,9,16
2,9,17
2,9,18
2,10,18
2,10,19
2,11,19
2,11,20
2,11,21
2,12,21
2,12,22
2,12,23
2,12,24
2,13,24
2,13,25
2,13,26
2,13,27
2,14,27
2,15,27
2,16,27
2,16,28
2,16,29
2,16,30
2,16,31
2,16,32
2,16,33
2,16,34
2,17,34
2,17,35
2,17,36
2,18,36
2,18,37
2,18,38
2,18,39
3,18,39
3,18,40
3,19,40
3,19,41
3,20,41
3,20,42
3,21,42
3,22,42
3,22,43
3,23,43
3,24,43
3,24,44
3,24,45
3,24,46
3,24,47
3,24,48
3,24,49
3,24,50
3,24,51
3,25,51
3,25,52
3,25,53
3,25,54
3,26,54
3,27,54
3,27,55
3,27,56
3,27,57
3,27,58
3,28,58
3,28,59
3,28,60
3,28,61
3,28,62
3,29,62
3,30,62
3,30,63
3,30,64
3,30,65
3,31,65
3,32,65
